product_category_name,totalOrderan
seguros_e_servicos,0
cds_dvds_musicais,1
fashion_roupa_infanto_juvenil,3
pc_gamer,4
la_cuisine,4
fashion_esporte,5
casa_conforto_2,10
portateis_cozinha_e_preparadores_de_alimentos,14
fashion_roupa_feminina,16
moveis_colchao_e_estofado,19
artes_e_artesanato,22
tablets_impressao_imagem,22
dvds_blu_ray,25
flores,25
fashion_roupa_masculina,26
musica,27
artigos_de_festas,32
fraldas_higiene,34
fashion_underwear_e_moda_praia,42
livros_importados,43
moveis_quarto,62
cine_foto,62
portateis_casa_forno_e_cafe,70
fashion_calcados,71
pcs,72
construcao_ferramentas_ferramentas,81
artigos_de_natal,89
telefonia_fixa,100
market_place,107
construcao_ferramentas_seguranca,143
agro_industria_e_comercio,145
alimentos_bebidas,145
eletrodomesticos_2,148
sinalizacao_e_seguranca,153
casa_conforto,154
moveis_cozinha_area_de_servico_jantar_e_jardim,155
climatizacao,155
construcao_ferramentas_jardim,156
artes,165
audio,195
livros_tecnicos,219
industria_comercio_e_negocios,227
moveis_sala,239
bebidas,279
construcao_ferramentas_iluminacao,283
livros_interesse_geral,310
eletroportateis,348
alimentos,379
instrumentos_musicais,393
consoles_games,403
casa_construcao,454
malas_acessorios,489
eletrodomesticos,520
construcao_ferramentas_construcao,787
moveis_escritorio,870
fashion_bolsas_e_acessorios,873
pet_shop,1148
cool_stuff,1448
brinquedos,1456
papelaria,1506
perfumaria,1607
bebes,1732
eletronicos,1838
ferramentas_jardim,1854
telefonia,2294
automotivo,2580
relogios_presentes,3633
utilidades_domesticas,3969
moveis_decoracao,4056
esporte_lazer,4438
informatica_acessorios,4624
cama_mesa_banho,5816
beleza_saude,5849
